Name,Aura,CL,Slot,Price,Weight,Description,Requirements,Cost,Group,Source,AuraStrength,WeightValue,PriceValue,CostValue,Languages,BaseItem,id
Searing Arrow,moderate evocation,9,none,"1,516 gp",-,"This +1 flaming arrow continues to burn its target each round, dealing 1d6 points of fire damage on the attacker's turn for the next 3 rounds. Removing the arrow requires a successful DC 10 Heal check and prevents any further damage from the arrow (the DC increases to 15 if the target tries to remove the arrow from himself). Removing the arrow destroys it, and it burns up once the 3 rounds pass.","Craft Magic Arms and Armor; flame blade, flame strike, or fireball",758 gp,Ammunition,Ultimate Equipment,moderate,0,1516,758,,+1 flaming arrow,1360
Sizzling Arrow,moderate evocation,9,none,"1,516 gp",-,"This +1 corrosive arrow continues to leak acid onto its target each round, dealing 1d6 points of acid damage on the attacker's turn for the next 3 rounds. Removing the arrow requires a successful DC 10 Heal check and prevents any further damage from the arrow (the DC increases to 15 if the target tries to remove the arrow from herself). Removing the arrow destroys it. The arrow dissolves once the 3 rounds pass.","Craft Magic Arms and Armor, acid arrow",758 gp,Ammunition,Ultimate Equipment,moderate,0,1516,758,,+1 corrosive arrow,1364
Slaying Arrow,strong necromancy,13,none,"2,282 gp",1/10 lb.,"This +1 arrow is keyed to a particular type or subtype of creature. If it strikes such a creature, the target must succeed at a DC 20 Fortitude save or take 50 points of damage. Note that even creatures normally exempt from Fortitude saves (undead and constructs) are subject to this attack. When keyed to a living creature, this is a death effect (and thus death ward protects a target). To determine the type or subtype of creature the arrow is keyed to, roll on the table below.  A greater slaying arrow functions just like a normal slaying arrow, but the DC to avoid the death effect is 23 and the arrow deals 100 points of damage if the saving throw is failed.   d% DESIGNATED TYPE OR SUBTYPE  01-05 Aberrations  06-09 Animals  10-16 Constructs  17-27 Dragons  28-32 Fey  33 Humanoids, aquatic  34-35 Humanoids, dwarf  36-37 Humanoids, elf  38-44 Humanoids, giant  45 Humanoids, gnoll  46 Humanoids, gnome  47-49 Humanoids, goblinoid  50 Humanoids, halfling  51-54 Humanoids, human  55-57 Humanoids, reptilian  58-60 Humanoids, orc  61-65 Magical beasts  66-70 Monstrous humanoids  71-72 Oozes  73 Outsiders, air  74-76 Outsiders, chaotic  77 Outsiders, earth  78-80 Outsiders, evil  81 Outsiders, fire  82-84 Outsiders, good  85-87 Outsiders, lawful  88 Outsiders, water  89-90 Plants  91-98 Undead  99-100 Vermin","Craft Magic Arms and Armor, finger of death","1,144 gp",Ammunition,Ultimate Equipment,strong,0.1,2282,1144,,+1 arrow,1365
"Slaying Arrow, Greater",strong necromancy,13,none,"2,032 gp",1/10 lb.,"This +1 arrow is keyed to a particular type or subtype of creature. If it strikes such a creature, the target must succeed at a DC 20 Fortitude save or take 50 points of damage. Note that even creatures normally exempt from Fortitude saves (undead and constructs) are subject to this attack. When keyed to a living creature, this is a death effect (and thus death ward protects a target). To determine the type or subtype of creature the arrow is keyed to, roll on the table below.  A greater slaying arrow functions just like a normal slaying arrow, but the DC to avoid the death effect is 23 and the arrow deals 100 points of damage if the saving throw is failed.   d% DESIGNATED TYPE OR SUBTYPE  01-05 Aberrations  06-09 Animals  10-16 Constructs  17-27 Dragons  28-32 Fey  33 Humanoids, aquatic  34-35 Humanoids, dwarf  36-37 Humanoids, elf  38-44 Humanoids, giant  45 Humanoids, gnoll  46 Humanoids, gnome  47-49 Humanoids, goblinoid  50 Humanoids, halfling  51-54 Humanoids, human  55-57 Humanoids, reptilian  58-60 Humanoids, orc  61-65 Magical beasts  66-70 Monstrous humanoids  71-72 Oozes  73 Outsiders, air  74-76 Outsiders, chaotic  77 Outsiders, earth  78-80 Outsiders, evil  81 Outsiders, fire  82-84 Outsiders, good  85-87 Outsiders, lawful  88 Outsiders, water  89-90 Plants  91-98 Undead  99-100 Vermin","Craft Magic Arms and Armor, heightened finger of death","4,057 gp",Ammunition,Ultimate Equipment,strong,0.1,2032,4057,,+1 arrow,1366
Sleep Arrow,faint enchantment,5,none,132 gp,1/10 lb.,"This +1 arrow is painted white and has white fletching. If it strikes a foe so that it would normally deal damage, it instead bursts into magical energy that deals nonlethal damage (the same amount as it would deal lethal damage) and forces the target to make a successful DC 11 Will save or fall asleep.","Craft Magic Arms and Armor, sleep",70 gp,Ammunition,Ultimate Equipment,faint,0.1,132,70,,+1 arrow,1367
Tangle Bolt,strong conjuration,12,none,226 gp,-,"Often etched with images of spider webs or swampy vines, this sickly green +1 seeking bolt transforms into sticky goo when it hits, entangling its target and becoming tough and resilient upon exposure to air. In addition to the bolt's damage, the target is entangled as if it had been hit by a tanglefoot bag.","Craft Magic Arms and Armor, true seeing, and either web or creator must have 5 ranks in Craft (alchemy)",113 gp,Ammunition,Ultimate Equipment,strong,0,226,113,,+1 seeking bolt,1379
Tracer Bullet,faint evocation,2,none,100 gp,-,"These +1 firearm bullets deal no damage, but instead cause a pale glow to outline the target, granting the effect of a faerie fire spell and causing the target to take a -2 penalty to AC against ranged attacks. These effects last for 1d4 rounds.","Craft Magic Arms and Armor, faerie fire",50 gp,Ammunition,Ultimate Equipment,faint,0,100,50,,+1 firearm bullets,1381
Dwindling Bullet,faint transmutation,3,none,166 gp,-,"This +1 sling bullet is slightly smaller than an average steel bullet, but incredibly dense. It's usually used by kobolds to shrink down foes or prey, weakening them and making them more vulnerable to combat maneuvers. The target must succeed at a DC 11 Fortitude save or decrease in size by one size category for 1d4 rounds, as the spell reduce person.","Craft Magic Arms and Armor, reduce person",86 gp,Ammunition,Kobolds Of Golarion,faint,0,166,86,,+1 sling bullet,2738
Arrow Of Charming,moderate enchantment,8,none,"2,886 gp",1/20 lb.,"When this +3 arrow strikes a creature, it explodes in a small cloud of red dust and deals nonlethal damage. The creature struck must succeed at a DC 16 Will save or be charmed by the wielder as charm monster. Alternatively, the user can inscribe the name of another creature into the arrow shaft; in this case, the arrow's victim instead becomes charmed by the named creature on a failed save. Inscribing the arrow takes 10 minutes.","Craft Magic Arms and Armor, charm monster","1,446 gp",Ammunition,Ranged Tactics Toolbox,moderate,0.1,2886,1446,,+3 arrow,3661
"Boulder Bullet, Lesser",moderate or strong transmutation,10,none,806 gp,1/2 lb.,"A boulder bullet appears to be a magical sling bullet when held, but it is actually a shrunken piece of catapult ammunition. A boulder bullet expands rapidly when launched from a sling or sling staff, increasing in size and dealing greater base damage depending on the version used. This doesn't affect the bullet's range or any of the normal mechanics for using a sling bullet, though the boulder bullet is treated as siege weapon ammunition for the purposes of wind effects and similar penalties. Similarly, if a boulder bullet is launched and misses its target, roll 1d8 to determine the adjacent square in which it lands. Once it has   been thrown and has expanded, a boulder bullet loses its magic and remains boulder-sized thereafter.  Lesser Boulder Bullet (CL 10th): A lesser boulder bullet is a +1 sling bullet that expands to the size of light catapult ammunition, increasing its base damage to 4d6.  Boulder Bullet (CL 14th): A boulder bullet is a +2 sling bullet that expands to the size of standard catapult ammunition, increasing its base damage to 6d6.  Greater Boulder Bullet (CL 18th): A lesser boulder bullet is a +3 sling bullet that expands to the size of heavy catapult ammunition, increasing its base damage to 8d6.","Craft Magic Arms and Armor, shrink object",406 gp,Ammunition,Ranged Tactics Toolbox,strong,0.5,806,406,,+1 sling bullet,3662
