Name,Aura,CL,Slot,Price,Weight,Description,Requirements,Cost,Group,Source,AuraStrength,WeightValue,PriceValue,CostValue,Languages,BaseItem,id
Adamantine Breastplate,no aura (nonmagical),-,armor,"10,200 gp",30 lbs.,"This nonmagical breastplate is made of adamantine, giving its wearer damage reduction of 2/-.",,,Armor,PFRPG Core,none,30,10200,0,,,305
Dwarven Plate,no aura (nonmagical),-,armor,"16,500 gp",50 lbs.,"This full plate is made of adamantine, giving its wearer damage reduction of 3/-.",,,Armor,PFRPG Core,none,50,16500,0,,,306
Dragonhide Plate,no aura (nonmagical),-,armor,"3,300 gp",50 lbs.,"This suit of full plate is made of dragonhide, rather than metal, so druids can wear it. It is otherwise identical to masterwork full plate.",,,Armor,PFRPG Core,none,50,3300,0,,,307
Elven Chain,no aura (nonmagical),-,armor,"5,150 gp",20 lbs.,"This extremely light chainmail is made of very fine mithral links. This armor is treated, in all ways, like light armor, including when determining proficiency. The armor has an arcane spell failure chance of 20%, a maximum Dexterity bonus of +4, and an armor check penalty of -2.",,,Armor,PFRPG Core,none,20,5150,0,,,308
Mithral Shirt,no aura (nonmagical),-,armor,"1,100 gp",10 lbs.,"This extremely light chain shirt is made of very fine mithral links. The armor has an arcane spell failure chance of 10%, a maximum Dexterity bonus of +6, and no armor check penalty. It is considered light armor.",,,Armor,PFRPG Core,none,10,1100,0,,,309
Darkwood Buckler,no aura (nonmagical),-,shield,205 gp,2.5 lbs.,"This nonmagical light wooden shield is made out of darkwood. It has no enhancement bonus, but its construction material makes it lighter than a normal wooden shield. It has no armor check penalty.",,,Armor,PFRPG Core,none,2.5,205,0,,,310
Darkwood Shield,no aura (nonmagical),-,shield,257 gp,5 lbs.,"This nonmagical heavy wooden shield is made out of darkwood. It has no enhancement bonus, but its construction material makes it lighter than a normal wooden shield. It has no armor check penalty.",,,Armor,PFRPG Core,none,5,257,0,,,311
Mithral Heavy Shield,no aura (nonmagical),-,shield,"1,020 gp",5 lbs.,This heavy shield is made of mithral and thus is much lighter than a standard steel shield. It has a 5% arcane spell failure chance and no armor check penalty.,,,Armor,PFRPG Core,none,5,1020,0,,,312
Skin of Klendar the Troll King,moderate conjuration,8,armor,"16,315 gp",25 lbs.,"This suit of mottled, greenish hide armor has no seams, as if it were made from a single large, disgusting skin. When worn, it tightens to fit snugly against the body. The skin acts as a suit of +2 hide armor and grants the wearer 5 temporary hit points. These hit points regenerate at a rate of 1 hp per round. If the wearer is damaged by fire or acid, the temporary hit points do not regenerate, but may be restored by magical healing. In addition, while wearing the armor, the bearer finds that he can speak Giant with a commanding voice. The wearer gains a +2 bonus on all Diplomacy or Intimidate skill checks made to influence any creature with the giant subtype. This bonus extends to all giants except trolls, which prove utterly offended by the armor, which all too readily resembles the flayed flesh of one of their kind. Any troll treats the wearer of the armor one step less favorably than it otherwise would. In addition, even the most charismatic can never improve a troll's attitude any higher than indifferent while wearing the armor.","Craft Magic Arms and Armor, aid, regenerate","8,157 gp",Armor,AP 27,none,0,16315,8157,,+2 hide armor,336
Nightskin,moderate illusion (evil),10,armor,"53,100 gp",25 lbs.,"Each of these +2 glamered chain shirts bears a permanent illusion of being a fantastic ebon gown of peerless design or a royal suit of nighted hues. Yet those who see past the illusion find a strange padding within the armor, stitched skins of macabre origins filled with locks of delicate hair, dyed in devil's blood. Those who wear the armor find that they can see in even the most abysmal darkness as per a devil's ability to see in darkness (seeing through even magical darkness as if it were full light). In addition, the wearer finds that he can understand Infernal perfectly, though the armor does not grant the ability to speak it. Nightskin is a fundamentally evil armor and any wearer of good alignment is treated as being sickened for as long as the armor is worn.","Craft Magic Arms and Armor, major image, true seeing","26,550 gp",Armor,AP 30,moderate,25,53100,26550,,+2 glamered chain shirt,584
Mwangi Spirit Shield,strong transmutation,15,shield,"19,393 gp",5 lbs.,"This large wood-and-hide shield is similar to other Mwangi shields, but the totem animal painted on the shield's face seems to move when the shield is carried. Crafted by Mwangi shamans to grant its wielder the power of tribal totem spirits, a Mwangi spirit shield functions as a +1 ghost touch light wooden shield. Once per day on command, the shield can grant its bearer bull's strength for 1 minute. Other versions of the Mwangi spirit shield exist; some are known to grant cat's grace or bear's endurance to their wielders instead of bull's strength.","Craft Magic Arms and Armor, bull's strength, etherealness","9,733 gp",Armor,Sargava,strong,5,19393,9733,,+1 ghost touch light wooden shield,653
