Name,Aura,CL,Slot,Price,Weight,Description,Requirements,Cost,Group,Source,AuraStrength,WeightValue,PriceValue,CostValue,Languages,BaseItem,id
Armor Of Rage,strong necromancy,16,armor,,50 lbs.,"This armor is similar in appearance to breastplate of command and functions as a +1 breastplate. However, when it is worn, the armor causes the character to take a -4 penalty to Charisma. All unfriendly characters within 300 feet have a +1 morale bonus on attack rolls against her. The effect is not noticeable to the wearer or those affected. In other words, the wearer does not immediately notice that donning the armor is the cause of her problems, nor do foes understand the reason for the depth of their enmity.",,,Cursed,PFRPG Core,strong,50,0,0,,,279
Deadflesh Waraxe,strong conjuration and transmutation,12,none,,8 lbs.,"These +1 mithral ghost touch undead bane dwarven waraxes were crafted hurriedly to combat the rising undead threat, but the rush to craft these weapons and cut corners in their creation resulted in a dangerous flaw-whenever an undead creature is slain with a deadflesh waraxe, the axe allows a portion of the destroyed undead's necromantic energy to flow through the axe and into the wielder's body, causing the wielder to become shaken for 1 minute if he fails a DC 15 Will save. These effects stack with each other-the second time the victim succumbs, he becomes frightened. The third time, he is panicked and drops the deadflesh waraxe in his attempt to flee. This is a mind-affecting fear effect. This flaw is relatively subtle-in order to notice it when identifying the item, the examiner must exceed the DC 27 Spellcraft check by 10 points or more. In the hands of a soldier ready to deal with this imperfection, a deadflesh waraxe can be a powerful tool against the undead, but many of the dwarven defenders of the mines weren't made aware of the flaw until it was too late.",,,Cursed,Dungeons Of Golarion,strong,8,0,0,,+1 mithral ghost touch undead bane dwarven waraxe,948
Helm of Ikimizi,moderate enchantment,7,head,,3 lbs.,"The helm of Ikimizi grants its wearer a +4 circumstance bonus on attack rolls made to confirm critical hits. However, whenever the wearer threatens a critical hit (regardless of whether or not he actually succeeds), he immediately becomes berserk (gaining all the benefits and drawbacks of the barbarian's rage ability). For 1d4+1 rounds, he is compelled to attack the nearest creature until it has fallen, regardless of whether the target is friend or foe.  In addition, whenever the wearer of a helm of Ikimizi slays a creature, he must spend at least 1 full-round action feasting on the flesh of the fallen creature, heedless of anything or anyone else around him.  Once it is equipped, the helm of Ikimizi can only be removed by a remove curse spell.",,,Cursed,Lost Kingdoms,moderate,3,0,0,,,1091
-2 Cursed Sword,strong evocation,15,none,,4 lbs.,"This longsword performs well against targets in practice, but when used in combat its wielder takes a -2 penalty on attack rolls.  All damage dealt is also reduced by 2 points, but never below a minimum of 1 point of damage on any successful hit. The sword always forces that character to employ it rather than another weapon. The sword's owner automatically draws it and fights with it even when she meant to draw or ready some other weapon.",,,Cursed,Ultimate Equipment,strong,4,0,0,,-2 Sword,2528
Amulet Of Inescapable Location,moderate abjuration,10,neck,,1/2 lb.,"This device appears to prevent location, scrying and detection, or influence by detect thoughts or telepathy, as per an amulet of proof against detection and location. Actually, the amulet gives the wearer a -10 penalty on all saves against divination spells.",,,Cursed,Ultimate Equipment,moderate,0.5,0,0,,,2529
Armor Of Arrow Attraction,strong abjuration,16,armor,,50 lbs.,Magical analysis indicates that this armor is a normal suit of +3 full plate. The armor works normally with regard to melee attacks but actually attracts ranged weapons. The wearer takes a -15 penalty to AC against ranged weapons. The true nature of the armor does not reveal itself until the character is fired upon in earnest.,,,Cursed,Ultimate Equipment,strong,50,0,0,,+3 full plate,2530
Arrowbreak Bow,moderate evocation,6,none,,2 lbs.,"This shortbow is beautifully made and inlaid with iridescent designs, appearing to be a +2 shortbow. When it fires its arrows, though, it does it with so much force that the arrows are always broken on either a hit or a miss. This bow must be used as its owner's primary ranged weapon and can only be discarded after the owner is subject to a remove curse spell or similar effect.",,,Cursed,Ultimate Equipment,moderate,2,0,0,,,2532
Bag Of Devouring,strong conjuration,17,none,,15 lbs.,"This bag appears to be an ordinary sack. Detection for magical properties makes it seem as if it were a bag of holding. The sack, however, is something entirely different and more insidious-one of the feeding orifices of an extradimensional creature.   Any substance of animal or vegetable nature is subject to ""swallowing'' if thrust within the bag. The bag of devouring is 90% likely to ignore any initial intrusion, but anytime thereafter that it senses living flesh within (such as if someone reaches into the bag to pull something out), it is 60% likely to close around the offending appendage and attempt to draw the whole victim in. The bag has a +8 bonus on combat maneuver checks made to grapple. If it pins a creature, it pulls the victim inside as a free action. The bag has a CMD of 18 for those attempting to break free.   The bag can hold up to 30 cubic feet of matter. It acts as a bag of holding type I, but each hour it has a 5% cumulative chance of swallowing the contents and then spitting the stuff out in some nonspace or on some other plane. Creatures drawn within are consumed in 1 round. The bag destroys the victim's body and prevents any form of raising or resurrection that requires part of the corpse. There is a 50% chance that a wish, miracle, or true resurrection spell can restore a devoured victim to life. Check once for each destroyed creature. If the check fails, the creature cannot be brought back to life by mortal magic.",,,Cursed,Ultimate Equipment,strong,15,0,0,,,2533
Berserking Sword,moderate evocation,8,none,,8 lbs.,"This sword appears to be a +2 greatsword. However, whenever it is used in battle, its wielder goes berserk (gaining all the benefits and drawbacks of the barbarian's rage ability). He attacks the nearest creature and continues to fight until unconscious or dead or until no living thing remains within 30 feet. Although many see this sword as a cursed object, others see it as a boon.",,,Cursed,Ultimate Equipment,moderate,8,0,0,,+2 greatsword,2534
Biting Battleaxe,moderate evocation,8,none,,6 lbs.,"This vicious-looking +2 battleaxe grants its wielder the Great Cleave feat. But when using this feat, the wielder makes an additional attack against a random adjacent creature instead of choosing which creature to attack. When determining which creature is attacked, the wielder always counts himself as a possible target, even if he is not adjacent to the target. The wielder of a biting battleaxe must always uses it as his primary weapon and must use Great Cleave at every opportunity until subject to a remove curse spell or similar effect.",,,Cursed,Ultimate Equipment,moderate,6,0,0,,+2 battleaxe,2535
