Name,Aura,CL,Slot,Price,Weight,Description,Requirements,Cost,Group,Source,AuraStrength,WeightValue,PriceValue,CostValue,Languages,BaseItem,id
Animal Totem Tattoo,faint transmutation,5,none,"12,000 gp",-,"An animal totem tattoo is dedicated to a specific animal totem. The bearer gains the totem transformation ability of a 5th-level druid with the corresponding animal shaman archetype (apeUC, batUC, bearAPG, boarUC, dragonUM, eagleAPG, lionAPG, saurianUM, serpentAPG, sharkUM, or wolfAPG). If the bearer already has the corresponding totem transformation as a class ability, she is instead treated as a druid of 5 levels higher for the purposes of this ability.","Inscribe Magical TattooISM, beast shape I","6,000 gp",Magical Tattoo,Magical Marketplace,faint,0,12000,6000,,,3008
Hypnotic Tattoo,faint enchantment,1,none,900 gp,-,"This arabesque tattoo accentuates the bearer's movements. If the tattoo is visible, the bearer gains a +2 circumstance bonus on Perform (dance) checks.  When the bearer uses a Perform skill or bardic performance, she can choose a creature within 90 feet that she can see and that can see her hypnotic tattoo. That creature takes a -2 penalty on Perception and Sense Motive checks while the bearer performs. This is a mind-affecting effect. The bearer can change the target of this effect as a free action on her turn.","Inscribe Magical TattooISM, hypnotism",450 gp,Magical Tattoo,Magical Marketplace,faint,0,900,450,,,3009
Runeward Tattoo,faint divination,1,none,"1,000 gp",-,"Each of these tattoos is keyed to a single school of magic. The bearer can use detect magic at will, but only to sense auras of that school. The bearer gains a +1 insight bonus on saving throws against spells and spell-like abilities of the keyed school and knows when such a spell or spell-like ability has been cast within 60 feet.","Inscribe Magical TattooISM, detect magic, guidance",500 gp,Magical Tattoo,Magical Marketplace,faint,0,1000,500,,,3010
Serpentine Tattoo,faint conjuration,1,none,"2,000 gp",-,"This sinuous tattoo appears to move when the bearer flexes his muscles. Three times per day when the bearer makes a successful melee attack with a monk or performance weapon or an unarmed strike, he can cause the tattoo to lunge like a snake at the creature hit. This allows the bearer to perform a dirty trickAPG combat maneuver as an immediate action that does not provoke attacks of opportunity.","Improved Dirty TrickAPG, Inscribe Magical TattooISM, summon monster I","1,000 gp",Magical Tattoo,Magical Marketplace,faint,0,2000,1000,,,3011
"Caster's Tattoo, Lesser",faint evocation,5,none,"6,000 gp",-,"A caster's tattoo is infused with potential magical energy that aids in casting spells that normally utilize verbal and somatic components. Once per day, a spellcaster may activate her caster's tattoo as a swift action to automatically enhance the next spell she casts in that round with both the Still Spell and Silent Spell feats. When she casts the spell, the caster's tattoo flares with light for a moment, then grows faint and faded-it replenishes its energy in 24 hours, after which it becomes bold and colorful and can be used again. Required material components or foci must be in the creature's possession to cast the spell (and are consumed as normal), but need not be held when the spell is cast. Caster's tattoos are available in lesser, standard, and greater versions, allowing the modified casting of a spell of up to 3rd level, 6th level, or 9th level respectively.","Inscribe Magical Tattoo, Silent Spell, Still Spell","3,000 gp",Magical Tattoo,Inner Sea Magic,faint,0,6000,3000,,,3013
Caster's Tattoo,moderate evocation,11,none,"21,000 gp",-,"A caster's tattoo is infused with potential magical energy that aids in casting spells that normally utilize verbal and somatic components. Once per day, a spellcaster may activate her caster's tattoo as a swift action to automatically enhance the next spell she casts in that round with both the Still Spell and Silent Spell feats. When she casts the spell, the caster's tattoo flares with light for a moment, then grows faint and faded-it replenishes its energy in 24 hours, after which it becomes bold and colorful and can be used again. Required material components or foci must be in the creature's possession to cast the spell (and are consumed as normal), but need not be held when the spell is cast. Caster's tattoos are available in lesser, standard, and greater versions, allowing the modified casting of a spell of up to 3rd level, 6th level, or 9th level respectively.","Inscribe Magical Tattoo, Silent Spell, Still Spell","10,500gp",Magical Tattoo,Inner Sea Magic,moderate,0,21000,10500,,,3014
"Caster's Tattoo, Greater",strong evocation,17,none,"48,000 gp",-,"A caster's tattoo is infused with potential magical energy that aids in casting spells that normally utilize verbal and somatic components. Once per day, a spellcaster may activate her caster's tattoo as a swift action to automatically enhance the next spell she casts in that round with both the Still Spell and Silent Spell feats. When she casts the spell, the caster's tattoo flares with light for a moment, then grows faint and faded-it replenishes its energy in 24 hours, after which it becomes bold and colorful and can be used again. Required material components or foci must be in the creature's possession to cast the spell (and are consumed as normal), but need not be held when the spell is cast. Caster's tattoos are available in lesser, standard, and greater versions, allowing the modified casting of a spell of up to 3rd level, 6th level, or 9th level respectively.","Inscribe Magical Tattoo, Silent Spell, Still Spell","24,000gp",Magical Tattoo,Inner Sea Magic,strong,0,48000,24000,,,3015
Reservoir Tattoo,moderate transmutation,7,none,"10,000 gp",-,"Once per day as a standard action, the bearer can transfer into the tattoo an ongoing single-target spell (of up to 3rd level). The spell must be one the bearer cast on itself. While stored in the tattoo, the spell's effects are suppressed, and the spell's duration is similarly suspended. As a standard action, the bearer can bring the spell back into effect on itself. Spells stored in reservoir tattoos are lost when the bearer next prepares spells.",Inscribe Magical Tattoo,"5,000 gp",Magical Tattoo,Inner Sea Magic,moderate,0,10000,5000,,,3016
Spell Tattoo,varies,varies,none,,-,"A spell tattoo is essentially a wearable scroll inscribed on flesh instead of on parchment or vellum. These tattoos appear as colorful and intricate patterns rather than magical writing. The tattoo is a silent, spell completion item that only the bearer can activate. It vanishes when activated. A spell tattoo must be visible to the bearer and must be touched as part of its activation. These magical tattoos are not normally placed on the head, neck, or back as a result, since most creatures would require mirrors to activate them. A spell tattoo's aura and caster level varies as per the scroll it emulates. A spell tattoo has a market price four times as much as an equivalent scroll.","Inscribe Magical Tattoo, the spell to be inscribed",varies,Magical Tattoo,Inner Sea Magic,none,0,-1,-1,,,3017
Kin's Face Tattoo,faint illusion,5,none,"1,600 gp",-,"This intricate tattoo covers the bearer's face in thousands of hair-fine lines of ink and carefully incised scars. The bearer can activate the tattoo to cause the marked design to shift and the scars to open and pull the bearer's face into a different shape. The bearer then gains the benefits of disguise self, save that he can take only the form of a specific half-orc, human, or orc, and the disguise lasts up to 5 hours per day. This duration need not be continuous, but it must be used in 1-hour increments.  The material components for the kin's face tattoo include rare pigments that are mixed with the bearer's blood, then worked into the bearer's skin. To remove this tattoo the tattooed portions must be erased and the scars healed.","Inscribe Magical Tattoo (Pathfinder RPG Campaign Setting: Inner Sea Magic 16), disguise self",800 gp,Magical Tattoo,AP 91,faint,0,1600,800,,,3774
