Name,Aura,CL,Slot,Price,Weight,Description,Requirements,Cost,Group,Source,AuraStrength,WeightValue,PriceValue,CostValue,Languages,BaseItem,id
Utilitarian Rod,moderate transmutation,8,none,"5,000 gp",5 lb.,"Created by the Arcanamirium, this plain wooden rod is capped with steel, with 10 buttons along its length; it looks rugged and is usually scratched and stained. Pushing any of the buttons is an action equivalent to drawing a weapon. Unless otherwise stated, pressing a button a second time reverts the rod to its basic form. The following functions have no limit on the number of times they can be employed. Brace/jack: The end caps flatten into 2-foot-diameter discs and the wooden haft extends up to 10 feet, creating a brace for a tunnel ceiling or lifting a heavy object 10 feet into the air. Bridge: The rod flattens and extends to 1 foot wide, 1 inch thick, and 12 feet long. This form can support 4,000 pounds. Climbing pole/ladder. A spike that can anchor in stone extrudes from one end, while the other sprouts three sharp hooks. The rod lengthens to anywhere between 5 and 50 feet in a single round. Horizontal bars 3 inches long fold out from the sides, 1 foot apart, in staggered progression. The rod is firmly held by the spike and hooks and can bear up to 4,000 pounds. Crowbar: This functions like a normal crowbar. Drill: One metal cap extends to a drill-like point and begins to spin, easily drilling a 3-inch-diameter hole through 3 feet of wood or 1 foot of stone per minute. Mallet: Though not intended as a weapon, a character can attack with the rod in this form as if it were a Medium warhammer with a -2 penalty. Portable ram: This functions like a normal portable ram, except up to three people are needed to help the wielder. Saw: This works like a normal two-person saw. Shovel: Pressing this button makes the rod cycle between a short-handled shovel, a long-handled shovel, and its basic form. Wedge: One metal cap extends to form a flat chisel shape, such as for cutting wood or breaking stone (normally a hammer or mallet is used with it for this task).","Craft Rod, fabricate, polymorph any object","2,500 gp",Rod,Faction Guide,moderate,5,5000,2500,,,646
Rod of Well-Deserved Rest,strong enchantment and evocation,12,none,"62,000 gp",5 lbs.,"This rod is made of polished gold, and features three blownglass onion domes at one end. It functions as a +1 light mace.  Up to three times per day, with a successful hit in combat, the wearer may attempt to put the target of the attack asleep (DC 14 Will save negates). This functions as sleep, but there is no limit to the number of Hit Dice that may be affected.  In addition, the wielder may create an opaque sphere of force to protect himself from the elements once per day, as a tiny hut spell with a 5-foot radius. If the wielder goes to sleep with the rod in his possession, 8 hours of sleep provides healing equivalent to a full day of bed rest. Upon waking, the wielder enjoys the benefits of a good hope spell for 1 hour.","Craft Rod, deep slumber, good hope, restful sleep (Advanced Player's Guide 239), tiny hut","31,000 gp",Rod,AP 39,strong,5,62000,31000,,,878
Ivory Baton,strong enchantment,18,none,"40,000 gp",6 lbs.,"This white, slender rod is engraved with decorative emblems of elephants, jackals, alligators, and other wild beasts, and is worth 2,000 gp because of its masterful craftsmanship. The wielder can command the obedience of golems within 120 feet when she activates the device (a standard action), bypassing their immunity to magic and any other resistances to magic they may possess. Up to 300 Hit Dice worth of golems can be ruled at once with an ivory baton. Ruled golems obey the wielder as if she were their creator. Still, if the wielder attacks a ruled golem or gives it a command that is obviously harmful to it, the magic is broken. An ivory baton can be used for 500 total minutes before crumbling to dust. This duration need not be continuous. For each golem ruled beyond the first, multiply the number of minutes expended by the number of golems ruled (so, for example, a creature wielding an ivory baton to control three golems effectively expends 3 minutes of the rod's total duration every minute).  In addition, an ivory baton acts as a golembane scarab as long as its wielder holds the rod in one hand.","Craft Rod, geas/quest, mass charm monster","21,000 gp",Rod,Lost Kingdoms,strong,6,40000,21000,,,1093
Conduit Rod,moderate abjuration,12,none,"12,000 gp",5 lbs.,"This stout, dense rod is always constructed of highly conductive metal, shot through with weblike veins of white or yellow glass. While a creature holds a conduit rod, she gains electricity resistance 5 as a constant effect as well as a +1 bonus to her effective caster level when casting any spell with the electricity descriptor.   Once per day as a free action, when the wielder of a conduit rod casts a spell with the electricity descriptor, she can teleport anywhere that spell's effect, but is otherwise unaffected by the spell.","Craft Rod, dimension door, lightning bolt, resist energy","6,000 gp",Rod,Ultimate Equipment,moderate,5,12000,6000,,,1476
Earthbind Rod,moderate transmutation,6,none,"26,500 gp",5 lbs.,"This rod looks like nothing more than a large, strange sliver of rough granite. This rod's magic interacts with stone or earth to both steady its wielder and anchor creatures the rod touches. An earthbind rod functions like a +1 light mace, and it grants its wielder a +4 circumstance bonus to its CMD against bull rush, grapple, overrun, reposition, and trip combat maneuvers, but only if the wielder is an oread, has the earth subtype, or is standing on earth or stone. Three times per day, when the wielder hits a creature with this rod, as long as the target of this attack is standing on stone or earth, the wielder can attempt to entangle that creature (Fortitude DC 18 negates) for 1d4 rounds.","Craft Rod, stone shape","13,250 gp",Rod,Ultimate Equipment,moderate,5,26500,13250,,+1 light mace,1477
Fiery Nimbus Rod,moderate evocation,6,none,"22,305 gp",3 lbs.,"This rod functions as a +1 flaming burst light mace. Furthermore, when the rod confirms a critical hit, not only does it deal the extra damage from the flaming burst special ability, a nimbus of cold blue flames ignites the target for 1d4 rounds. This illuminates the target as the faerie fire spell. While the nimbus does not burn the target, it responds to melee attacks made against that foe. Each time an ignited foe takes damage from a melee attack, it takes and additional 1d10 fire damage.  Furthermore, once per day, as a free action, after hitting a foe with this rod, the wielder can surround the target of that attack with the nimbus, which has the same effect as the nimbus created by a confirmed critical hit.","Craft Wondrous Item, flame blade, flame strike or fireball, fairy fire","11,305 gp",Rod,Ultimate Equipment,moderate,3,22305,11305,,+1 flaming burst light mace,1478
Grounding Rod,faint abjuration,5,none,"12,000 gp",10 lbs.,"This 6-foot-long silver rod is capped with a copper ball at one end, and a multipronged iron spike at the other. Three times per day, the spiked end can be driven into sand, mud, or loose earth as a move action, into dense soil or loose gravel as a standard action, or into stone or harder materials as a full-round action. Once anchored, the rod emits a field that inhibits electrical charges within a 40-foot radius. All creatures within this radius gain resistance 5 to electricity, and anyone attempting to cast a spell with the electricity descriptor must make a caster level check (DC 16) or lose the spell.   Removing the rod from the ground and deactivating it requires the same type of action as anchoring it.","Craft Rod, dispel magic, lightning bolt, resist energy","6,000 gp",Rod,Ultimate Equipment,faint,10,12000,6000,,,1479
Immovable Rod,moderate transmutation,10,none,"5,000 gp",5 lbs.,"This rod looks like a flat iron bar with a small button on one end. When the button is pushed (a move action), the rod does not move from where it is, even if staying in place defies gravity. Thus, the owner can lift or place the rod wherever he wishes, push the button, and let go. Several immovable rods can even make a ladder when used together (although only two are needed). An immovable rod can support up to 8,000 pounds before falling to the ground. If a creature pushes against an immovable rod, it must succeed at a DC 30 Strength check to move the rod up to 10 feet in a single round.","Craft Rod, levitate","2,500 gp",Rod,Ultimate Equipment,moderate,5,5000,2500,,,1480
Liberator's Rod,moderate abjuration,9,none,"30,000 gp",5 lbs.,"This bronze rod is capped with a hollow head formed by sweeping aquiline wings shielding a continual flame. A rod of liberty can be used as a +1 merciful light mace, but while its merciful property is suppressed by the wielder so is the continual flame. On command, the wielder of a rod of liberty may touch a creature that has failed a save against a charm, compulsion, or possession effect. Doing so grants that creature a new saving throw to end the effect. If this new save fails, the effect remains and the rod's touch cannot further affect it.  Once per day on command, the wielder can use break enchantment, as the spell.","Craft Magic Arms and Armor, Craft Rod, break enchantment, cast out (Advanced Player's Guide), continual flame","15,000 gp",Rod,Ultimate Equipment,moderate,5,30000,15000,,,1481
Rod Of Absorption,strong abjuration,15,none,"50,000 gp",5 lbs.,"This rod absorbs spells or spell-like abilities into itself. The magic absorbed must be a single-target spell or a ray directed at either the character holding the rod or her gear. The rod then noneifies the spell's effect and stores its potential until the wielder releases this energy in the form of spells of her own. She can instantly detect a spell's level as the rod absorbs that spell's energy. Absorption requires no action on the part of the user if the rod is in hand at the time.   A running total of absorbed (and used) spell levels should be kept. The wielder of the rod can use captured spell energy to cast any spell she has prepared without expending the prepared spell itself. The only restrictions are that the levels of spell energy stored in the rod must be equal to or greater than the level of the spell the wielder wants to cast, that any material components required for the spell be present, and that the rod be in the wielder's hand when he casts the spell. For casters such as bards or sorcerers who do not prepare spells, the rod's energy can be used to cast any spell of the appropriate level or levels that they know.   A rod of absorption can absorb a maximum of 50 spell levels and thereafter can only discharge any remaining potential it might have. The rod cannot be recharged. The wielder knows the rod's remaining absorbing potential and current amount of stored energy.   To determine the absorption potential remaining in a newly found rod, roll d% and divide the result by 2. Then roll d% again: on a result of 71-100, half the levels already absorbed by the rod are still stored within.","Craft Rod, spell turning","25,000 gp",Rod,Ultimate Equipment,strong,5,50000,25000,,,1482
