Name,Aura,CL,Slot,Price,Weight,Description,Requirements,Cost,Group,Source,AuraStrength,WeightValue,PriceValue,CostValue,Languages,BaseItem,id
Crook of Cildhureen,moderate illusion,9,none,"16,800 gp",4 lbs.,"This twisted and gnarled black oak staff draws upon the formless magic of the Shadow Plane to allow use of the following spells: • major image (1 charge) • shadow conjuration (2 charges) • shadow evocation (3 charges) In addition, the staff can further influence shadow conjuration and shadow evocation spells, whether cast from the staff or the wielder's daily allotment of spells, without increasing the spell's level. By expending extra charges, the wielder can increase the shadowy substance used to form such spells by +10% per charge, up to a maximum of +50%. Using the staff for this purpose does not increase the casting time of these spells.","Craft Staff, major image, shadow conjuration, shadow evocation","8,400 gp",Staff,Fellnight Queen,moderate,4,16800,8400,,,586
Staff of Spirit-Talking,moderate divination,11,none,"39,050 gp",5 lbs.,"A Mwangi staff of spirit-talking is made of ebony or other dark wood, with the bones of numerous small animals dangling from it. It allows the use of the following spells: • speak with animals (1 charge) • speak with plants (1 charge) • command plants (1 charge) • commune with nature (2 charges) • stone tell (2 charges)","Craft Staff, command plants, commune with nature, speak with animals, speak with plants, stone tell","19,525 gp",Staff,Sargava,moderate,5,39050,19525,,quarterstaff,654
Staff of Stoneweaving,strong abjuration and transmutation,13,none,"63,180 gp",5 lbs.,"A staff of stoneweaving is a staff of rough-hewn obsidian with a glowing ruby floating between the forked branches of its top end. It allows the use of the following spells: • Spike stones (1 charge) • Statue (2 charges) • Stone shape (1 charge) • Stone to flesh (2 charges) • Stoneskin (2 charges) Additionally, the staff of stoneweaving acts as a +1 halfling slingstaff. The staff creates its own ammunition-ruby sling bullets which disappear after striking or missing their target. These bullets are created by tapping the head of the staff against the ground (a move action). The user cannot pick up bullets after firing them or otherwise harvest them; at the end of the round after a bullet is created, it disappears from existence.","Craft Magic Arms and Armor, Craft Staff, minor creation, spike stones, statue, stone shape, stone to flesh, stoneskin","31,430 gp",Staff,AP 34,strong,5,63180,31430,,quarterstaff,658
Quiema's Branch,"strong abjuration, conjuration, and transmutation",15,none,"72,750 gp",2 lbs.,"This staff is crafted out of interlocking woods, woven together and knotted with holly leaf and mistletoe, with a cloudy purple gem resting atop it. Quiema's branch allows the use of the following spells: • Changestaff (2 charges) • Quench (1 charge) • Repel metal or stone (4 charges) • Transmute metal to wood (1 charge) • Tree stride (1 charge)","Craft Staff, changestaff, quench, repel metal or stone, transmute metal to wood, tree stride","36,375 gp",Staff,AP 34,strong,2,72750,36375,,,663
Staff of Fortune,evocation (moderate),9,none,"44,400 gp",3 lbs.,"This staff is made of ivory and gold and is topped by a large, flawless piece of quartz. It allows the use of the following spells.  • Heroic fortune (1 charge) • Mass heroic fortune (2 charges)","Craft Staff, heroic fortune, mass heroic fortune","37,200 gp",Staff,APG,moderate,3,44400,37200,,quarterstaff,1075
Animate Staff,moderate transmutation,11,none,"49,800 gp",5 lbs.,"Created from a number of iron rods, copper gears, and silver screws, this staff constantly shifts and changes. The staff allows use of the following spells:  • Make whole (1 charge)  • Mending (1 charge)  • Animate objects (2 charges)  In addition, once per day, the staff can become a Medium animated object (Bestiary 14) with the metal special ability. It can remain in this form for up to 10 minutes. If destroyed while in this form, it reverts to being a staff, but it loses all of its charges and this ability cannot be used again until it is fully recharged.","Craft Staff, animate objects, make whole, mending","24,900 gp",Staff,Ultimate Equipment,moderate,5,49800,24900,,,1603
Chaotic Staff,moderate evocation,8,none,"29,600 gp",5 lbs.,"Made up from a number of different materials, including wood, metal, and possibly pieces of flesh, this staff seems to shift in shape and form over time. The staff allows use of the following spells:   • Align weapon (chaos only, 1 charge)   • Detect law (1 charge)   • Chaos hammer (2 charges)   • Magic circle against law (2 charges)","Craft Staff, align weapon, chaos hammer, detect evil, magic circle against law","14,800 gp",Staff,Ultimate Equipment,moderate,5,29600,14800,,,1604
Dragon Staff,strong transmutation,13,none,"81,000 gp",7 lbs.,"Made from a large dragon bone, wrapped in scales and topped with the fearsome image of a dragon, this staff radiates power. Each dragon staff is linked to one type of chromatic dragon: black, blue, green, red, or white. All the spells that can be cast using the staff are tied to that choice. If the wielder uses the staff to cast form of the dragon II, she must assume the type linked to the staff. Any energy types chosen by spells from the staff must match the type as well (black and green are linked to acid, blue is linked to electricity, red is linked to fire, and white is linked to cold). The staff allows use of the following spells:  • Fly (1 charge)  • Protection from energy (1 charge)  • Dragon's breath (2 charges; Advanced Player's Guide)  • Form of the dragon II (4 charges)  In addition to these powers, the wielder of the dragon staff also receives a +2 natural armor bonus to her AC and the ability to make a bite attack as a primary natural weapon. This bite deals 1d8 points of damage if the wielder is Medium. These bonuses are a polymorph effect and are replaced by those gained from casting form of the dragon II, or other similar spells.","Craft Staff, alter self, dragon's breath, fly, form of the dragon II, protection from energy","40,500 gp",Staff,Ultimate Equipment,strong,7,81000,40500,,,1605
Heretic's Bane,moderate enchantment,8,none,"32,000 gp",5 lbs.,"This sturdy wooden staff is crowned by a holy symbol, surrounded by wicked barbs of metal. The staff allows use of the following spells:   • Castigate (1 charge; Advanced Player's Guide)   • Command (1 charge)   • Zone of truth (1 charge)   • Denounce (2 charges; Advanced Player's Guide)","Craft Staff, castigate, command, denounce, zone of truth","16,000 gp",Staff,Ultimate Equipment,moderate,5,32000,16000,,,1606
Holy Staff,moderate evocation,8,none,"29,600 gp",5 lbs.,"This staff is made from polished birch, inlaid with ivory, and topped with a pristine white gemstone. The staff allows use of the following spells:   • Align weapon (good only, 1 charge)   • Detect evil (1 charge)   • Holy smite (2 charges)   • Magic circle against evil (2 charges)","Craft Staff, align weapon, detect evil, holy smite, magic circle against evil","14,800 gp",Staff,Ultimate Equipment,moderate,5,29600,14800,,,1607
Lawful Staff,moderate evocation,8,none,"29,600 gp",5 lbs.,"This staff is crafted from a perfectly smooth triangular rod of silver, and its top is crowned with a golden sphere. The staff allows use of the following spells:   • Align weapon (lawful only, 1 charge)   • Detect chaos (1 charge)   • Magic circle against chaos (2 charges)   • Order's wrath (2 charges)","Craft Staff, align weapon, detect chaos, magic circle against chaos, order's wrath","14,800 gp",Staff,Ultimate Equipment,moderate,5,29600,14800,,,1608
Musical Staff,moderate evocation,8,none,"32,000 gp",5 lbs.,"This staff is made from high-quality wood and festooned with brass rods and keys, looking almost like an instrument. The staff allows use of the following spells:  • Ghost sound (1 charge)  • Piercing shriek (1 charge; Ultimate Magic)  • Sculpt sound (2 charges)  • Wall of sound (2 charges; Ultimate Magic)  In addition, as a swift action, the wielder of the musical staff can cause it to transform into a string or wind instrument. Any Perform skill checks made with the musical staff gain a +5 competence bonus. The staff can still be used to cast spells while it is an instrument, and it can revert back to a staff as a free action.","Craft Staff, ghost sound, piercing shriek, sculpt sound, wall of sound","16,000 gp",Staff,Ultimate Equipment,moderate,5,32000,16000,,,1609
Staff Of Abjuration,strong abjuration,13,none,"82,000 gp",5 lbs.,"Usually carved from the heartwood of an ancient oak, ash, sequoia, or other large tree, this staff allows use of the following spells:   • Dispel magic (1 charge)   • Resist energy (1 charge)   • Shield (1 charge)   • Dismissal (2 charges)   • Lesser globe of invulnerability (2 charges)   • Repulsion (3 charges)","Craft Staff, dismissal, dispel magic, lesser globe of invulnerability, repulsion, resist energy, shield","41,000 gp",Staff,Ultimate Equipment,strong,5,82000,41000,,,1610
Staff Of Accompaniment,moderate evocation and transmutation,8,none,"14,800 gp",5 lbs.,"This staff is adorned with musical notes. When held and used with bardic performance, it accompanies the song with the sounds of wind instruments, granting a +2 competence bonus on Perform checks. The staff allows use of the following spells:   • Chord of shards (1 charge; Ultimate Magic)   • Saving finale (1 charge; Advanced Player's Guide)   • Allegro (2 charges; Ultimate Magic)","Craft Staff, allegro, chord of shards, saving finale","7,400 gp",Staff,Ultimate Equipment,moderate,5,14800,7400,,,1611
Staff Of Acid,moderate conjuration,11,none,"28,600 gp",5 lbs.,"This staff is made of a rust-colored metal that has been corroded by acid, with a sickly green gem at its tip. The staff allows use of the following spells:   • Corrosive touch (1 charge; Ultimate Magic)   • Acid arrow (2 charges)   • Acid fog (3 charges)","Craft Staff, acid arrow, acid fog, corrosive touch","14,300 gp",Staff,Ultimate Equipment,moderate,5,28600,14300,,,1612
Staff Of Aspects,moderate transmutation,9,none,"37,600 gp",5 lbs.,"This stout staff is made of ash. Four faces of animals-a bear, a falcon, a stag, and a wolf-are carved at its top. The aspect staff functions as a +1/+1 quarterstaff and allows the use of the following spells:  • Aspect of the bear (1 charge; Advanced Player's Guide)  • Aspect of the falcon (1 charge; Advanced Player's Guide)  • Aspect of the stag (2 charges; Advanced Player's Guide)  • Aspect of the wolf (3 charges; Advanced Player's Guide)","Craft Magic Arms and Armor, Craft Staff, aspect of the bear, aspect of the falcon, aspect of the stag, aspect of the wolf","19,100 gp",Staff,Ultimate Equipment,moderate,5,37600,19100,,+1/+1 quarterstaff,1613
Staff Of Authority,moderate varies,8,none,"23,000 gp",5 lbs.,This stout ironbound staff functions as a +1/+1 quarterstaff. It allows the use of the following spells:  • Forced quiet (1 charge; Ultimate Magic)  • Interrogation (1 charge; Ultimate Magic)  • Oppressive boredom (2 charges; Ultimate Magic),"Craft Staff, forced quiet, interrogation, oppressive boredom","11,800 gp",Staff,Ultimate Equipment,moderate,5,23000,11800,,+1/+1 quarterstaff,1614
Staff Of Belittling,moderate transmutation,8,none,"20,000 gp",5 lbs.,"Someone who carries this blue-and-white staff need never feel small nor weak, as the staff brings everybody and everything down to size. This staff allows the use of the following spells:   • Reduce person (1 charge)   • Reduce animal (2 charges)   • Shrink item (2 charges)   • Mass reduce person (4 charges)","Craft Staff, mass reduce person, reduce animal, reduce person, shrink item","10,000 gp",Staff,Ultimate Equipment,moderate,5,20000,10000,,,1615
Staff Of Blessed Relief,faint conjuration,8,none,"7,200 gp",5 lbs.,This simple wooden staff is given to young clergy when they first set out into the world to spread the charity of their faith. The staff allows use of the following spells:   • Create water (1 charge)   • Stabilize (1 charge)   • Bless (2 charges),"Craft Staff, bless, create water, stabilize","3,600 gp",Staff,Ultimate Equipment,faint,5,7200,3600,,,1616
Staff Of Bolstering,moderate transmutation,8,none,"41,600 gp",5 lbs.,"The top of this rosewood shaft narrows and then expands again, bound by a number of metal rings. It allows use of the following spells:   • Bear's endurance (1 charge)   • Bull's strength (1 charge)   • Cat's grace (1 charge)   • Greater magic weapon (1 charge)","Craft Staff, bear's endurance, bull's strength, cat's grace, greater magic weapon","20,800 gp",Staff,Ultimate Equipment,moderate,5,41600,20800,,,1617
Staff Of Cackling Wrath,moderate varies,9,none,"56,700 gp",5 lbs.,The thorns embedded in this gnarled length of wood make it rather tricky for the unwary to grasp. It allows use of the following spells: • Blindness/deafness (1 charge) • Charm person (1 charge) • Hold person (1 charge) • Inflict moderate wounds (1 charge) • Baleful polymorph (2 charges) • Bestow curse (2 charges) • Vampiric touch (2 charges),"Craft Staff, baleful polymorph, bestow curse, blindness/ deafness, charm person, hold person, inflict moderate wounds, vampiric touch","28,350 gp",Staff,Ultimate Equipment,moderate,5,56700,28350,,,1618
Staff Of Charming,moderate enchantment,8,none,"17,600 gp",5 lbs.,"Made of twisting wood ornately shaped and carved, this staff allows use of the following spells:   • Charm person (1 charge)   • Charm monster (2 charges)","Craft Staff, charm monster, charm person","8,800 gp",Staff,Ultimate Equipment,moderate,5,17600,8800,,,1619
Staff Of Conjuration,strong conjuration,13,none,"82,000 gp",5 lbs.,This staff is usually made of ash or walnut and bears ornate carvings of many different kinds of creatures. It allows use of the following spells:   • Stinking cloud (1 charge)   • Summon swarm (1 charge)   • Unseen servant (1 charge)   • Cloudkill (2 charges)   • Minor creation (2 charges)   • Summon monster VI (3 charges),"Craft Staff, cloudkill, minor creation, stinking cloud, summon monster VI, summon swarm, unseen servant","41,000 gp",Staff,Ultimate Equipment,strong,5,82000,41000,,,1620
Staff Of Courage,moderate enchantment,8,none,"20,800 gp",5 lbs.,"This sturdy-looking hickory staff is capped with a figurine of an angel or other benevolent spirit, wings and arms outstretched as if in welcome. This staff allows use of the following spells: • Bless (1 charge) • Remove fear (1 charge) • Prayer (2 charges) • Remove paralysis (2 charges)","Craft Staff, bless, prayer, remove fear, remove paralysis","10,400 gp",Staff,Ultimate Equipment,moderate,5,20800,10400,,,1621
Staff Of Curses,moderate transmutation,9,none,"43,500 gp",5 lbs.,"This gnarled wooden staff is bedecked with broken charms and burnt fetishes that were once used to ward against bad luck, but now are in shambles. The staff allows use of the following spells:  • Blindness/deafness (1 charge)  • Ill omen (1 charge; Advanced Player's Guide)  • Baleful polymorph (2 charges)  • Bestow curse (2 charges)  In addition, the staff of curses is a +1/+1 quarterstaff, and whenever the wielder strikes a creature with the staff, he can expend one charge to cause the creature to become cursed for a number of rounds equal to the number of charges remaining in the staff. While this curse persists, the creature takes a -2 penalty on saving throws from spells cast from the staff and a -2 penalty to AC against any attacks made by the staff.","Craft Magic Arms and Armor, Craft Staff, baleful polymorph, bestow curse, blindness/deafness, ill omen","22,050 gp",Staff,Ultimate Equipment,moderate,5,43500,22050,,+1/+1 quarterstaff,1622
Staff Of Dark Flame,moderate evocation and necromancy,8,none,"47,000 gp",4 lbs.,"Made from bleached bones that have been fused together, the head of this staff burns with an unholy fire. This staff can be used as a +1 flaming quarterstaff (only one end of the staff bears magical enhancement), and it retains this property even if all its charges are drained. This staff can cast the following spells:  • False life (1 charge)  • Ray of enfeeblement (1 charge)  • Scorching ray (1 charge)  • Fireball (2 charges)  • Animate dead (3 charges)","Craft Magic Arms and Armor, Craft Staff, animate dead, false life, fireball, ray of enfeeblement, scorching ray","27,133 gp",Staff,Ultimate Equipment,moderate,4,47000,27133,,+1 flaming quarterstaff,1623
Staff Of Defense,strong abjuration,15,none,"62,000 gp",5 lbs.,The staff of defense is a simple-looking polished wooden staff that throbs with power when held defensively. It allows use of the following spells:  • Shield (1 charge)  • Shield of faith (1 charge)  • Shield other (1 charge)  • Shield of law (3 charges),"Craft Staff, shield, shield of faith, shield of law, shield other, creator must be lawful","31,000 gp",Staff,Ultimate Equipment,strong,5,62000,31000,,,1624
